联赛,赛季,轮次,比赛时间,主队,完场比分,客队,半场比分,bet365亚盘初盘,bet365大小球初盘,bet365胜平负初盘,主队近30场比赛积分,客队近30场比赛积分,主队近3场比赛积分,客队近3场比赛积分,主客队近3场强弱
"法国乙组联赛","2024-2025","R_1",2,"2777910,12,-1,2025-05-22 02:00,214,4957,1-1,1-0,3,法甲16,0.25,0,2/2.5,1,1,1,1,1,0,0,,3,FRA D1-16","","2777911,12,-1,2025-05-30 02:30,4957,214,1-1,0-0,法甲16,3,0.25,0,2/2.5,1,1,1,1,1,0,0,90,1-1;2-2;1,1-3;;2,FRA D1-16,3","","","","",0,0,0,0,0
"芬兰超级联赛","2023","R_1",2,"2495332,13,-1,2023-11-01 23:59,1985,2226,0-1,0-0,5,4,0.25,0,2/2.5,1,1,1,1,1,0,0,,5,4","","2495333,13,-1,2023-11-05 22:00,2226,1985,1-0,1-0,4,5,0.25,0.25,2.5,1,1,1,1,1,0,0,,4,5","","","","",0,0,0,0,0
"法国乙组联赛","2023-2024","R_1",3,"2582249,12,-1,2024-05-31 02:30,255,214,2-1,1-1,3,法甲16,0.25,0.25,2/2.5,1,1,1,1,1,0,0,,3,FRA D1-16","","2582250,12,-1,2024-06-02 23:00,214,255,2-1,2-1,法甲16,3,0.25,0,2.5,1,1,1,1,1,1,0,90,2-1;3-3;1,2-2;;2,FRA D1-16,3","","","","",0,0,0,0,0
"荷兰乙组联赛","2024-2025","R_1",3,"2780153,17,-1,2025-05-30 02:00,279,225,2-2,0-1,7,荷甲16,0.25,0,2.5/3,1,1,1,1,1,0,0,,7,HOL D1-16","","2780154,17,-1,2025-06-02 00:00,225,279,1-3,1-2,荷甲16,7,0.25,0.25,2.5,1,1,1,1,1,0,0,,HOL D1-16,7","","","","",0,0,0,0,0
"德国乙组联赛","2023-2024","R_1",3,"2580389,9,-1,2024-05-24 02:30,95,1344,0-3,0-1,德甲16,3,0.5,0.25,2.5,1,1,1,1,1,0,0,,GER D1-16,3","","2580416,9,-1,2024-05-28 02:30,1344,95,0-3,0-1,3,德甲16,0.25,0,2.5/3,1,1,1,1,1,0,0,90,0-3;3-3;1,0-3;5-6;2,3,GER D1-16","","","","",0,0,0,0,0
"德国乙组联赛","2024-2025","R_1",3,"2778216,9,-1,2025-05-23 02:30,8371,1076,2-2,0-2,德甲16,3,0.25,0,2.5,1,1,1,1,1,0,0,,GER D1-16,3","","2778217,9,-1,2025-05-27 02:30,1076,8371,1-2,1-1,3,德甲16,0.25,0,2.5/3,1/1.5,1,1,1,1,0,0,,3,GER D1-16","","","","",0,0,0,0,0
"芬兰超级联赛","2024","R_1",4,"2684601,13,-1,2024-10-31 00:00,397,14654,1-2,0-1,5,4,-0.5,-0.25,3,1/1.5,1,1,1,1,0,0,,5,4","","2684602,13,-1,2024-11-02 20:30,14654,397,2-2,1-0,4,5,1,0.5,3,1/1.5,1,1,1,1,0,0,,4,5","","","","",0,0,0,0,0
"挪威超级联赛","2025","R_1",4,"2905805,22,-1,2025-12-08 00:00,1273,1280,0-4,0-4,14,挪甲4,0.5,0.25,2.5,1,1,1,1,1,0,0,,14,NOR AL-4","","2905806,22,0,2025-12-12 02:00,1280,1273,,,挪甲4,14,0.25,0,2.5/3,1,1,1,1,1,0,0,,NOR AL-4,14","","","","",0,0,0,0,0
"荷兰乙组联赛","2023-2024","R_1",6,"2582260,17,-1,2024-05-29 02:00,232,270,6-2,3-2,8,荷甲16,0,0,3,1/1.5,1,1,1,1,0,2,,8,HOL D1-16","","2582261,17,-1,2024-06-02 23:59,270,232,4-1,3-0,荷甲16,8,0.5,0.25,3/3.5,1/1.5,1,1,1,1,0,0,,HOL D1-16,8","","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-01 21:00","马尔默","1-0","卡尔马","0-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-01 23:30","尤尔加登","3-1","布洛马波卡纳","2-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-02 21:00","哈马比","3-1","代格福什","1-1","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-02 21:00","北雪平","1-1","天狼星","0-1","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-02 23:30","哥德堡","0-1","韦纳穆","0-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-02 23:40","哈尔姆斯塔德","2-1","索尔纳","1-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-04 01:00","米亚尔比","2-2","瓦尔贝里","1-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_1","2023-04-04 01:10","埃尔夫斯堡","0-2","赫根","0-1","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_2","2023-04-08 21:00","布洛马波卡纳","1-2","马尔默","1-0","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_2","2023-04-08 21:00","代格福什","3-1","哈尔姆斯塔德","1-1","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_2","2023-04-09 21:00","赫根","3-1","哈马比","3-0","","","",3,3,3,3,0
"瑞典超级联赛","2023","R_2","2023-04-09 23:30","卡尔马","2-0","哥德堡","1-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_2","2023-04-09 23:30","天狼星","0-0","尤尔加登","0-0","","","",1,3,1,3,-2
"瑞典超级联赛","2023","R_2","2023-04-10 19:00","韦纳穆","0-1","米亚尔比","0-1","","","",3,1,3,1,2
"挪威超级联赛","2023","R_1","2023-04-10 20:30","罗森博格","1-0","维京","0-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_2","2023-04-10 21:00","索尔纳","0-3","北雪平","0-2","","","",0,1,0,1,-1
"瑞典超级联赛","2023","R_2","2023-04-10 21:00","瓦尔贝里","0-0","埃尔夫斯堡","0-0","","","",1,0,1,0,1
"挪威超级联赛","2023","R_1","2023-04-10 23:00","汉坎","2-0","桑德菲杰","2-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-10 23:00","奥勒松","0-1","瓦勒伦加","0-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-10 23:00","萨普斯堡","0-2","博德闪耀","0-2","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-10 23:00","斯塔贝克","0-0","奥德格伦兰","0-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-10 23:00","特罗姆瑟","1-0","莫尔德","0-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-11 01:15","布兰","3-0","海于格松","2-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_3","2023-04-15 21:00","埃尔夫斯堡","5-0","布洛马波卡纳","2-0","","","",1,0,1,0,1
"瑞典超级联赛","2023","R_3","2023-04-15 23:30","赫根","1-3","卡尔马","0-2","","","",6,3,6,3,3
"挪威超级联赛","2023","R_2","2023-04-15 23:59","维京","2-0","利勒斯特罗姆","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 03:00","米内罗美洲","0-3","弗鲁米嫩塞","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 03:00","帕尔梅拉斯","2-1","库亚巴","1-1","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","巴拉纳竞技","2-0","戈伊亚斯","1-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","福塔雷萨","1-1","巴西国际","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","博塔弗戈","2-1","圣保罗","1-1","","","",0,0,0,0,0
